Residence,Area live-in Satisfaction,Nearby Places,Area related Info,Area Sanitation(1-5),Nature,MentalPeace,Reaction on lack of something,Free time activities,GoOut,Stress Management,Descrimination,Outing Preference
Green Park City,"Satisfied in the regard that it is peaceful, it has a lot of facilities available and it is very green but not satisfied with the fact that it is quite far from the main city area which makes it difficult to travel even for small purposes or for daily requirements.  ",Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Ginsoy
Korangi,Not satisfied due to electricity load shedding and sui gas shortage. ,Parks;Mosques;Recreational Clubs,"Social, Noisy, Public",1,Extrovert,Yes,Pursue something else,Kill time,Rarely,Go with the flow,Never talk about that topic,Desi
New Karachi,No im not completely satisfied with the area i live in because there is always kind of chaos happenings and cant find peace that i want in this area i live and i want to move from here to any place better than this.. and sometimes i get thoughts in my mind to leave this country ,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Ambivert,Yes,Fight for it,Socialize,Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Ginsoy
Askari,Yes,Grocery Stores;Mosques;Recreational Clubs,"Social, Quiet, Private",5,Ambivert,Yes,Pursue something else,Study,Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Ginsoy
Bufferzone,"No, because of street crimes, stray dogs and pollution.",Grocery Stores;Mosques;Recreational Clubs,"Social, Noisy, Public",1,Extrovert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,KFC
Gulistan e jauhar,Yes because its less populated.,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,Socialize,Rarely,Calmly assess the situation and work towards a solution,Never talk about that topic,Ginsoy
Gulzar e Hijri,Yes because my university is just 10 minutes away from my house.,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,No,Fight for it,Study,Rarely,Go with the flow,Never talk about that topic,Dominos
DHA,Yes completely satisfied with the environment,Parks;Grocery Stores;Mosques,"Anti-social, Quiet , Private",5,Extrovert,No,Pursue something else,Study,Rarely,Go with the flow,Talk about the topic respecting eachother's views,Desi
Bufferzone,yes,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",2,Extrovert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi
Garden West,no. because it is so populated. and my university is too far,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",3,Extrovert,Yes,Pursue something else,Socialize,Once or twice a week,Get stressed and rush towards the first way out,Never talk about that topic,Desi
Shadman,Yess,Parks;Restaraunts;Recreational Clubs,"Social, Noisy, Public",2,Extrovert,No,Fight for it,Kill time,Once or twice a month,Get stressed and rush towards the first way out,Never talk about that topic,Dominos
Shadman,"Not really, the roads are in dire condition and sewage problem other than that its fine I guess",Parks;Grocery Stores;Mosques,"Social, Noisy, Public",2,Extrovert,No,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Go with the flow,Talk about the topic respecting eachother's views,Desi
Shah Faisal Colony,"Yes i am, as i am living inside of the airfirce residence",Grocery Stores;Mosques;Recreational Clubs,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Ginsoy
Shah Faisal Colony,"Yes and No. My Area has electrical facilities and water both, a shortage of which is faced throughout Karachi but now since the last year we have started facing water problems. There is also an unavailability of everyday services nearby which is a huge problem.",Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Pursue something else,Socialize,Once or twice a week,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,KFC
Gulshan e Iqbal,"Yes , ",Restaraunts;Grocery Stores;Mosques;,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,Socialize,Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Dominos
North Nazimabad,Yes I am. A huge variety of restaurants is here.,Restaraunts;Grocery Stores;Recreational Clubs,"Social, Quiet, Private",4,Ambivert,No,Pursue something else,Kill time,Once or twice a month,Go with the flow,Never talk about that topic,KFC
"Jut land, lines area","Yes,
Because Alhamdullilah there are no problems for water and electricity. Many medical stores, grocery shops, mosque, markets etc are near from my house.",Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Introvert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Go with the flow,Talk about the topic respecting eachother's views,Aylanto
New Karachi,"Not at all satisfied because of the daily problems related to electricity, water, gas , internet.",Parks;Grocery Stores;Mosques,"Social, Noisy, Public",1,Extrovert,Yes,Pursue something else,Kill time,Rarely,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Desi
Malir Cantt,Yes ,Parks;Restaraunts;Mosques,"Anti-social, Quiet , Private",4,Introvert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Get stressed and rush towards the first way out,Never talk about that topic,KFC
Bufferzone,"Yes, because of the facilities and environment.",Parks;Grocery Stores;Mosques,"Social, Noisy, Public",2,Extrovert,Yes,Fight for it,Socialize,Once or twice a month,Calmly assess the situation and work towards a solution,Never talk about that topic,Desi
Gulshan e Iqbal,Gulshan is a well established area of karachi but the block of gulshan where I am currently living is not appropriate for me because I don't feel safe here to go out. ,Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Pursue something else,Kill time,Rarely,Get stressed and rush towards the first way out,Never talk about that topic,Ginsoy
Malir Cantt,Yes I am . Safety services and utilities are completely and fully taken care for by authorities ,Parks;Grocery Stores;Mosques;Recreational Clubs,"Social, Quiet, Private",4,Introvert,No,Pursue something else,Socialize,Once or twice a week,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Desi
Bahadurabad,"No. Extremely populated therefore messy, noisy and poluted ",Grocery Stores;Mosques;Recreational Clubs,"Social, Noisy, Public",2,Extrovert,No,Fight for it,Kill time,Rarely,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Aylanto
Federal B Area,"Yes, Everything is ok and perfect.",Parks;Restaraunts;Grocery Stores,"Social, Noisy, Public",3,Ambivert,Yes,Pursue something else,Socialize,Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi
Frere Town,.,Parks;Mosques;Recreational Clubs,"Social, Quiet, Private",4,Introvert,Yes,Fight for it,Socialize,Once or twice a week,Calmly assess the situation and work towards a solution,Never talk about that topic,KFC
Nazimabad,Yes ,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",4,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Go with the flow,Never talk about that topic,Ginsoy
Upmore,"Yes Market Area
",Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",4,Extrovert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Never talk about that topic,Dominos
Hyderi,Yes,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",3,Ambivert,Yes,Fight for it,Socialize,Multiple times a week,Go with the flow,Talk about the topic respecting eachother's views,KFC
Malir Cantt,No. everything is far away. ,Parks;Grocery Stores;Mosques,"Anti-social, Quiet , Private",5,Introvert,Yes,Fight for it,Kill time,Rarely,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Ginsoy
North Karachi,"Yes , No electricity loadshedding is there.",Parks;Restaraunts;Grocery Stores,"Social, Noisy, Public",3,Ambivert,Yes,Pursue something else,Socialize,Once or twice a week,Go with the flow,Talk about the topic respecting eachother's views,Desi
North Nazimabad,Yes comfortable,Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Pursue something else,Socialize,Once or twice a month,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,KFC
North Nazimabad,Well i am cause it's quite here,Parks;Restaraunts;Grocery Stores,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,KFC
North Nazimabad,"Nope not at all satisfied. The roads are messed up, sewage water flowing freely through the streets, all in all the area has started to represent  a landfill. ",Parks;Restaraunts;Recreational Clubs,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,Kill time,Once or twice a month,Get stressed and rush towards the first way out,Never talk about that topic,KFC
PECHS,"No I am not satisfied
 In the monsoon season, in times of heavy rainfall the houses start to flood.The whole society experiences urban flooding.",Restaraunts;Grocery Stores;Recreational Clubs,"Social, Quiet, Private",1,Introvert,Yes,Pursue something else,Kill time,Once or twice a month,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Ginsoy
Mehmoodabad,"Yes, because of less criminal activities actually there's no and the market where everything is Available.",Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",1,Extrovert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Get stressed and rush towards the first way out,Never talk about that topic,Desi
Malir Cantt,Partially as facilities which are not available in old city are much available here. ,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",5,Introvert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Leave the friendship,Desi
Gulistan e jauhar,Othe wakring benifid,Parks;Restaraunts;Grocery Stores,"Anti-social, Quiet , Private",4,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Multiple times a week,Go with the flow,Never talk about that topic,Ginsoy
AFOHS FALCON COMPLEX,Its a gated community in which I live in & I always prefer that and it has almost all the facilities that you want to have so that’s the reason ,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",5,Ambivert,No,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi
North Nazimabad,"Yes 
My area is very calm apart from the city chaos ",Parks;Restaraunts;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Never talk about that topic,Ginsoy
Nazimabad,I am satisfied plus looking forward to change my view because of the mentality exist in our society.,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Ambivert,Yes,Pursue something else,Socialize,Once or twice a month,Get stressed and rush towards the first way out,Leave the friendship,KFC
Hyderi,Yes am completely satisfied with the area i live in because all the sources of need are already present in this area which makes living more comfortable.,Parks;Restaraunts;Recreational Clubs,"Social, Noisy, Public",2,Ambivert,Yes,Fight for it,Kill time,Rarely,Go with the flow,Talk about the topic respecting eachother's views,Dominos
Bufferzone,No. Reason: inadequate municipal services.,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",2,Extrovert,No,Fight for it,Kill time,Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Aylanto
Gulshan,Yes satisfied,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Extrovert,Yes,Fight for it,Kill time,Once or twice a week,Go with the flow,Never talk about that topic,Aylanto
Shabbirabad,Peace,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",3,Extrovert,Yes,Fight for it,Socialize,Multiple times a week,Get stressed and rush towards the first way out,Never talk about that topic,Aylanto
University Road,"Yes ! Because it’s clean, peaceful and safe ! ",Grocery Stores;Mosques;Recreational Clubs,"Anti-social, Quiet , Private",4,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi
Gulshan e Iqbal,No,Parks;Restaraunts;Grocery Stores,"Social, Quiet, Private",4,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Go with the flow,Never talk about that topic,Desi
Gulshan e Iqbal,Yes... everything is easily available here..it is heart of karachi,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,No,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Go with the flow,Talk about the topic respecting eachother's views,Dominos
Korangi,Yes,Parks;Restaraunts;Grocery Stores,"Social, Noisy, Public",2,Extrovert,Yes,Pursue something else,Socialize,Once or twice a week,Go with the flow,Try to change the other person's view,Dominos
Federal B Area,"Alhamdulillah I am satisfied. In my area, all the basic facilities and necessities are available. ",Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",5,Ambivert,No,Fight for it,Socialize,Rarely,Go with the flow,Talk about the topic respecting eachother's views,Desi
North Karachi,Due to environment,Restaraunts;Grocery Stores;Mosques,"Anti-social, Quiet , Private",2,Ambivert,Yes,Pursue something else,Study,Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,KFC
Karachi,Yes. Its secured and everything is on your tips near by.,Parks;Restaraunts;Grocery Stores,"Social, Quiet, Private",4,Ambivert,Yes,Pursue something else,Socialize,Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi
North Nazimabad,As mentioned above social and all of the above main thing is security both sides and peaceful atmosphere ,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,Socialize,Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi
University Road,Yes. It is a clean place.,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",5,Ambivert,No,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Go with the flow,Never talk about that topic,Dominos
Pakistan chowk,Every necessary need is available in the area.,Parks;Restaraunts;Recreational Clubs,"Social, Quiet, Private",2,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Never talk about that topic,Ginsoy
Gulshan,bcz i am worker and i don't have personal house,MosquesGrocery Stores;Parks,"Social, Noisy, Public",3,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Go with the flow,Try to change the other person's view,Desi
Landhi,Not complete. ,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",2,Extrovert,Yes,Fight for it,Kill time,Rarely,Go with the flow,Talk about the topic respecting eachother's views,Desi
Gulshan e Iqbal,No,Parks;Mosques;Restaraunts,"Social, Noisy, Public",4,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Get stressed and rush towards the first way out,Never talk about that topic,Desi
Gulshan maymaar,"No , to cut off from the main city",Parks;Grocery Stores;Mosques,"Anti-social, Quiet , Private",3,Introvert,Yes,Fight for it,Kill time,Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi
North Nazimabad,Some what satisfied.... Everything I need available here.... But there is no work on road construction.. this is the biggest flaw of my area... ,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",4,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Calmly assess the situation and work towards a solution,Never talk about that topic,Ginsoy
Malir Cantt,"Alhumdulilah Satisfied, peaceful area with greenery ",Parks;Mosques;Recreational Clubs,"Social, Quiet, Private",5,Introvert,No,Pursue something else,Socialize,Once or twice a week,Calmly assess the situation and work towards a solution,Never talk about that topic,Ginsoy
North Nazimabad,Yes.,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,No,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,KFC
Gulshan e Iqbal,Yes. Because eniviroment is good. No issue of water & electricity.,Parks;Grocery Stores;Recreational Clubs,"Social, Quiet, Private",4,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi
Gulzar e hijri,Yes as it is peacfeul here,Parks;Restaraunts;Grocery Stores,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,Socialize,Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Desi
DHA,yes but water problem,Parks;Restaraunts;Grocery Stores,"Social, Quiet, Private",3,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Ginsoy
North Nazimabad,Yes,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,Socialize,Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi
North Nazimabad,"Yes i am.  Wide streets and less crowded is the reason
",Parks;Mosques;Recreational Clubs,"Social, Quiet, Private",4,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Go with the flow,Never talk about that topic,Ginsoy
Malir Cantt,No there is transport problem here,Restaraunts;Grocery Stores;Mosques,"Anti-social, Quiet , Private",5,Introvert,Yes,Pursue something else,Study,Once or twice a month,Go with the flow,Never talk about that topic,Desi
Saddar,No,Parks;Mosques;Recreational Clubs,"Social, Noisy, Public",1,Extrovert,Yes,Pursue something else,Socialize,Once or twice a week,Calmly assess the situation and work towards a solution,Never talk about that topic,Desi
Shabbirabad,Yes I am satisfied as the masjid nearby and it is safe to move around in the area but rare robbery and snatching really effects people lives . Making them hesitant to travel shorts distances by foot . ,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,No,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Go with the flow,Talk about the topic respecting eachother's views,Desi
Saddar,Not completely satisfied,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",2,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Go with the flow,Talk about the topic respecting eachother's views,Ginsoy
North Nazimabad,Not in center of city,Parks;Grocery Stores;Recreational Clubs,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,Study,Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi
Jamshed road,Yes ,Parks;Grocery Stores;Mosques,"Anti-social, Quiet , Private",3,Introvert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Never talk about that topic,Desi
Gulistan e jauhar,Yes. Because it is a peaceful area not a crowded place and it is newly developed.,Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,Kill time,Rarely,Go with the flow,Talk about the topic respecting eachother's views,KFC
Federal B Area,Yes,Grocery Stores;Mosques;Recreational Clubs,"Social, Noisy, Public",3,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,KFC
North Karachi,Yes completely satisfied accept the security.,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",4,Ambivert,Yes,Fight for it,Socialize,Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Ginsoy
Clifton,"Satisfied 
There is some garbage that need to be removed.",Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",5,Extrovert,No,Fight for it,Socialize,Once or twice a month,Get stressed and rush towards the first way out,Never talk about that topic,Desi
Clifton,Nope. Cuz it's A Bit too noisy for me.,Parks;Mosques;Recreational Clubs,"Social, Quiet, Private",5,Extrovert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Calmly assess the situation and work towards a solution,Never talk about that topic,Aylanto
Clifton,Completely residential area with all possible utilities provided. Secure. ,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",5,Extrovert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Calmly assess the situation and work towards a solution,Never talk about that topic,Ginsoy
North Nazimabad,No,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Go with the flow,Talk about the topic respecting eachother's views,KFC
North Nazimabad,Yes,Grocery Stores;Mosques;Recreational Clubs,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,Study,Rarely,Get stressed and rush towards the first way out,Never talk about that topic,Ginsoy
Clifton,"I am satisfied because the area is well-secured, grocery stores and malls are at a convenient distance and its not too difficult explaining my address to others. ",Parks;Grocery Stores;Mosques,"Social, Quiet, Private",3,Extrovert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Never talk about that topic,Dominos
Surjani town,It's quite separate from the city. So peaceful.,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Extrovert,Yes,Fight for it,Study,Rarely,Get stressed and rush towards the first way out,Never talk about that topic,Desi
Saddar,No! That is not a residential area where as alot of late night shops disturb the area reputation.,Grocery Stores;Mosques;Recreational Clubs,"Social, Noisy, Public",2,Extrovert,Yes,Pursue something else,Socialize,Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Aylanto
Orangi Town,Nopes,Parks;Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",1,Extrovert,No,Fight for it,Socialize,Once or twice a month,Calmly assess the situation and work towards a solution,Try to change the other person's view,KFC
Shaheed e milat,I am not really satisfied. Its because previously it wasn't commercialized but now it is,Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",2,Extrovert,Yes,Pursue something else,Socialize,Once or twice a week,Calmly assess the situation and work towards a solution,Never talk about that topic,Ginsoy
Malir Cantt,Yas,Parks;Grocery Stores;Mosques,"Anti-Social, Quiet, Private",5,Introvert,Yes,Fight for it,Kill time,Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Ginsoy
North Karachi,Yeah it is in general a great place with almost every necessary thing availible,Parks;Mosques;Grocery Stores,"Social, Noisy, Public",4,Extrovert,No,Fight for it,Kill time,Once or twice a week,Get stressed and rush towards the first way out,Try to change the other person's view,Desi
Shaheed e milat,No..because of the behavior of people ,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",2,Extrovert,Yes,Fight for it,Kill time,Once or twice a week,Get stressed and rush towards the first way out,Try to change the other person's view,KFC
Saddar,I am not totally satisfied as all the things are perfectly fine there except the electricity.,Parks;Restaraunts;Grocery Stores,"Social, Noisy, Public",2,Extrovert,No,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Get stressed and rush towards the first way out,Never talk about that topic,Dominos
Saddar,"No, bcz the condition of roads is miserable. ",Parks;Mosques;Grocery Stores,"Social, Noisy, Public",2,Ambivert,No,Fight for it,Socialize,Once or twice a week,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Dominos
